subarea_name,category_name,room_count,size (sqrt),property_type,price (RM),district_penang,location_penang
Relau,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Bukit Mertajam,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,4,1140.0,Freehold,663900,South West Penang Island,Island
Bertam,House,4,1480.0,Freehold,434999,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,450000,North Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1409.0,Freehold,1080000,North East Penang Island,Island
Perai,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,550000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Teluk Kumbar,House,4,2400.0,Freehold,980000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Batu Kawan,House,4,2400.0,Freehold,950000,South Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,699000,South Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,712500,Central Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,785000,South Seberang Perai,Mainland
Simpang Ampat,House,4,2400.0,Freehold,570000,South Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,3,1044.0,Freehold,399000,Central Seberang Perai,Mainland
Butterworth,House,4,1200.0,Freehold,620000,North Seberang Perai,Mainland
Butterworth,House,4,1400.0,Freehold,538000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,1273.0,Freehold,470000,North Seberang Perai,Mainland
Bertam,House,4,1280.0,Freehold,399000,North Seberang Perai,Mainland
Bukit Mertajam,House,4,1400.0,Freehold,750000,Central Seberang Perai,Mainland
Alma,House,3,1100.0,Freehold,399000,Central Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,1283.0,Freehold,800000,North East Penang Island,Island
Batu Ferringhi,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,790000,Central Seberang Perai,Mainland
Alma,House,4,1540.0,Freehold,630000,Central Seberang Perai,Mainland
Relau,House,4,2065.0,Leasehold,997000,South West Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Batu Ferringhi,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Batu Ferringhi,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,950.0,Freehold,860000,South West Penang Island,Island
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Butterworth,House,4,2400.0,Freehold,680000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,1119.0,Freehold,455000,North Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,3,1100.0,Freehold,399000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,1300.0,Freehold,620000,Central Seberang Perai,Mainland
Alma,House,4,1300.0,Freehold,620000,Central Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,4,1290.0,Freehold,415000,North Seberang Perai,Mainland
Bayan Baru,Apartment / Condominium,3,1129.0,Freehold,538000,South West Penang Island,Island
Alma,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Butterworth,House,4,2400.0,Freehold,1080000,North Seberang Perai,Mainland
Jelutong,House,3,1560.0,Freehold,820000,North East Penang Island,Island
Butterworth,Apartment / Condominium,3,1070.0,Freehold,399000,North Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,2400.0,Freehold,980000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Teluk Kumbar,House,4,2400.0,Freehold,978000,South West Penang Island,Island
Butterworth,Apartment / Condominium,3,983.0,Freehold,410000,North Seberang Perai,Mainland
Georgetown,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,4,1600.0,Freehold,568000,Central Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,490000,North East Penang Island,Island
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Bukit Mertajam,House,3,1800.0,Freehold,468000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1314.0,Freehold,728000,South West Penang Island,Island
Butterworth,Apartment / Condominium,4,1366.0,Freehold,430000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,4,1258.0,Freehold,426000,North Seberang Perai,Mainland
Bayan Baru,Apartment / Condominium,3,1100.0,Freehold,470000,South West Penang Island,Island
Butterworth,House,4,2040.0,Freehold,780000,North Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,4,1500.0,Freehold,718000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,4,1500.0,Freehold,699999,North East Penang Island,Island
Butterworth,Apartment / Condominium,4,1210.0,Freehold,420000,North Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,1250.0,Leasehold,620000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Butterworth,House,4,2050.0,Freehold,759000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,1330.0,Freehold,430000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,4,1285.0,Freehold,450000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,1015.0,Freehold,490000,North Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,938.0,Leasehold,500000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1409.0,Freehold,1070000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Greenlane,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,2088.0,Freehold,1080000,North East Penang Island,Island
Paya Terubong,House,3,2400.0,Freehold,1080000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,2088.0,Freehold,1000000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,620000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1114.0,Leasehold,650000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bertam,House,4,2400.0,Freehold,630000,North Seberang Perai,Mainland
Bayan Lepas,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Batu Maung,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Teluk Kumbar,House,4,2400.0,Freehold,980000,South West Penang Island,Island
Bukit Mertajam,House,3,2250.0,Freehold,430000,Central Seberang Perai,Mainland
Nibong Tebal,House,4,1200.0,Freehold,399000,South Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,1652.0,Freehold,699000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1528.0,Freehold,1080000,North East Penang Island,Island
Butterworth,Apartment / Condominium,4,1330.0,Freehold,460000,North Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Georgetown,Apartment / Condominium,3,1000.0,Leasehold,470000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1302.0,Freehold,870000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1080.0,Freehold,550000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1022.0,Freehold,525000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,1195.0,Freehold,740000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Nibong Tebal,House,3,960.0,Freehold,399000,South Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,560000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1320.0,Freehold,780000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,600000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,540000,South West Penang Island,Island
Bukit Mertajam,Apartment / Condominium,3,1300.0,Freehold,610000,Central Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,3,1190.0,Freehold,560000,Central Seberang Perai,Mainland
Sungai Ara,Apartment / Condominium,3,1598.0,Freehold,650000,South West Penang Island,Island
Ayer Itam,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1050000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Sungai Ara,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Baru,Apartment / Condominium,3,1250.0,Freehold,630000,South West Penang Island,Island
Bayan Baru,Apartment / Condominium,3,1300.0,Freehold,660000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,1162.0,Leasehold,680000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,520000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,520000,North East Penang Island,Island
Bukit Mertajam,House,4,2160.0,Freehold,838000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,1725.0,Freehold,615000,Central Seberang Perai,Mainland
Sungai Ara,Apartment / Condominium,3,2018.0,Freehold,850000,South West Penang Island,Island
Jelutong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1100.0,Freehold,480000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1338.0,Freehold,735000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,750000,Central Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,1200.0,Leasehold,599000,North East Penang Island,Island
Batu Ferringhi,Apartment / Condominium,3,938.0,Freehold,420000,North East Penang Island,Island
Relau,Apartment / Condominium,3,1161.0,Freehold,650000,South West Penang Island,Island
Georgetown,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Jelutong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Leasehold,399000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Leasehold,399000,South West Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,880000,Central Seberang Perai,Mainland
Jelutong,House,3,2150.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,4,1380.0,Freehold,520000,South West Penang Island,Island
Bayan Baru,Apartment / Condominium,4,1250.0,Freehold,630000,South West Penang Island,Island
Bukit Jambul,House,4,2065.0,Leasehold,997000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Greenlane,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Lepas,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Butterworth,Apartment / Condominium,3,966.0,Freehold,399000,North Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,1450.0,Freehold,840000,North East Penang Island,Island
Bukit Mertajam,House,4,1540.0,Freehold,779000,Central Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1450.0,Freehold,600000,South West Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,4,1650.0,Leasehold,1080000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1185.0,Freehold,695000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Ayer Itam,House,4,1807.0,Freehold,1080000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,800000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1130.0,Freehold,750000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1000.0,Freehold,580000,South West Penang Island,Island
Relau,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1066.0,Leasehold,399000,South West Penang Island,Island
Butterworth,House,4,2400.0,Freehold,900000,North Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,4,1700.0,Freehold,530000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1087.0,Freehold,485000,North East Penang Island,Island
Bayan Baru,House,3,1120.0,Leasehold,399000,South West Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,938.0,Leasehold,498000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,720000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,1320.0,Freehold,630000,Central Seberang Perai,Mainland
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1528.0,Freehold,1080000,North East Penang Island,Island
Tanjong Tokong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Jelutong,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1000.0,Freehold,475000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,450000,North East Penang Island,Island
Simpang Ampat,House,4,2280.0,Freehold,570000,South Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,950.0,Freehold,528000,North East Penang Island,Island
Nibong Tebal,House,4,2400.0,Freehold,500000,South Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,1708.0,Freehold,920000,South West Penang Island,Island
Sungai Nibong,House,4,2000.0,Freehold,1080000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Georgetown,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Bukit Mertajam,House,4,1650.0,Freehold,668000,Central Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Leasehold,460000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,860000,Central Seberang Perai,Mainland
Jelutong,Apartment / Condominium,4,1968.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Bukit Mertajam,House,4,1460.0,Freehold,648000,Central Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,950.0,Freehold,850000,South West Penang Island,Island
Gelugor,Apartment / Condominium,3,1582.0,Freehold,1080000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,599000,Central Seberang Perai,Mainland
Jelutong,Apartment / Condominium,4,1270.0,Leasehold,720000,North East Penang Island,Island
Bukit Mertajam,House,4,1600.0,Freehold,550000,Central Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,4,1450.0,Freehold,650000,South West Penang Island,Island
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Batu Uban,Apartment / Condominium,3,1219.0,Freehold,848000,North East Penang Island,Island
Georgetown,Apartment / Condominium,4,2096.0,Freehold,1080000,North East Penang Island,Island
Georgetown,Apartment / Condominium,4,2200.0,Freehold,1080000,North East Penang Island,Island
Greenlane,House,3,2400.0,Freehold,1080000,North East Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Batu Kawan,Apartment / Condominium,3,1030.0,Freehold,570000,South Seberang Perai,Mainland
Bukit Mertajam,House,4,1776.0,Freehold,850000,Central Seberang Perai,Mainland
Sungai Ara,Apartment / Condominium,3,1258.0,Freehold,540000,South West Penang Island,Island
Tanjung Bungah,Apartment / Condominium,3,1635.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,House,3,1500.0,Freehold,399000,Central Seberang Perai,Mainland
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Kepala Batas,House,3,1540.0,Freehold,400000,North Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Lepas,House,3,2400.0,Freehold,1080000,South West Penang Island,Island
Alma,House,3,2400.0,Freehold,405000,Central Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,1123.0,Freehold,548000,South West Penang Island,Island
Relau,Apartment / Condominium,3,1161.0,Freehold,660000,South West Penang Island,Island
Butterworth,Apartment / Condominium,3,947.0,Freehold,479000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,974.0,Freehold,548000,North Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,945.0,Freehold,530000,North Seberang Perai,Mainland
Batu Ferringhi,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1582.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1260.0,Freehold,680000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1500.0,Freehold,700000,North East Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1020000,South West Penang Island,Island
Pulau Tikus,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Greenlane,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Greenlane,House,4,1800.0,Freehold,975000,North East Penang Island,Island
Nibong Tebal,House,3,957.0,Freehold,399000,South Seberang Perai,Mainland
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Bukit Mertajam,Apartment / Condominium,4,1441.0,Freehold,399000,Central Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,1047.0,Freehold,820000,North East Penang Island,Island
Georgetown,Apartment / Condominium,3,938.0,Freehold,567000,North East Penang Island,Island
Batu Ferringhi,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Georgetown,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Simpang Ampat,House,4,2400.0,Freehold,1080000,South Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Batu Uban,Apartment / Condominium,3,938.0,Freehold,460000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Tanjong Tokong,Apartment / Condominium,3,1600.0,Freehold,970000,North East Penang Island,Island
Pulau Tikus,House,4,1360.0,Freehold,1080000,North East Penang Island,Island
Bayan Lepas,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Simpang Ampat,House,4,1600.0,Freehold,520000,South Seberang Perai,Mainland
Bukit Mertajam,House,4,1600.0,Freehold,450000,Central Seberang Perai,Mainland
Sungai Ara,House,4,1600.0,Freehold,988000,South West Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1077.0,Freehold,600000,North East Penang Island,Island
Georgetown,Apartment / Condominium,4,2400.0,Freehold,1080000,North East Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,938.0,Freehold,420000,North East Penang Island,Island
Alma,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Alma,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,950000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,860000,Central Seberang Perai,Mainland
Bukit Mertajam,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,860000,Central Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,399000,North Seberang Perai,Mainland
Batu Uban,Apartment / Condominium,3,938.0,Freehold,500000,North East Penang Island,Island
Balik Pulau,House,4,2400.0,Freehold,900000,South West Penang Island,Island
Alma,House,4,2200.0,Freehold,618000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,880000,Central Seberang Perai,Mainland
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Alma,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,899000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,980000,Central Seberang Perai,Mainland
Alma,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Bayan Lepas,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Jelutong,Apartment / Condominium,3,1175.0,Freehold,780000,North East Penang Island,Island
Bukit Mertajam,House,3,1194.0,Freehold,399000,Central Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,420000,North East Penang Island,Island
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1314.0,Freehold,665000,South West Penang Island,Island
Georgetown,Apartment / Condominium,3,1000.0,Freehold,470000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1598.0,Freehold,688000,South West Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1598.0,Freehold,670000,South West Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1200.0,Freehold,628000,South West Penang Island,Island
Alma,House,4,2400.0,Freehold,488000,Central Seberang Perai,Mainland
Bukit Mertajam,Apartment / Condominium,3,938.0,Leasehold,399000,Central Seberang Perai,Mainland
Georgetown,Apartment / Condominium,3,938.0,Freehold,400000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,4,1650.0,Freehold,750000,South West Penang Island,Island
Sungai Ara,House,4,2400.0,Freehold,1080000,South West Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1226.0,Freehold,700000,North East Penang Island,Island
Batu Uban,Apartment / Condominium,3,938.0,Freehold,460000,North East Penang Island,Island
Nibong Tebal,House,3,2400.0,Freehold,710000,South Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,1000.0,Freehold,418000,North Seberang Perai,Mainland
Simpang Ampat,House,3,1302.0,Freehold,399000,South Seberang Perai,Mainland
Butterworth,Apartment / Condominium,4,1710.0,Freehold,480000,North Seberang Perai,Mainland
Batu Kawan,House,3,2400.0,Freehold,728000,South Seberang Perai,Mainland
Gelugor,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Ayer Itam,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,938.0,Leasehold,399000,South West Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,405000,Central Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,938.0,Leasehold,440000,North East Penang Island,Island
Bukit Mertajam,House,4,2400.0,Freehold,888000,Central Seberang Perai,Mainland
Butterworth,Apartment / Condominium,3,938.0,Freehold,400000,North Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Relau,Apartment / Condominium,3,938.0,Freehold,399000,South West Penang Island,Island
Bukit Jambul,Apartment / Condominium,3,938.0,Freehold,399000,North East Penang Island,Island
Bukit Mertajam,House,4,1600.0,Freehold,399000,Central Seberang Perai,Mainland
Batu Kawan,House,4,2400.0,Freehold,1000000,South Seberang Perai,Mainland
Butterworth,House,3,1800.0,Freehold,560000,North Seberang Perai,Mainland
Jelutong,House,4,1400.0,Freehold,1080000,North East Penang Island,Island
Balik Pulau,House,3,2400.0,Freehold,1080000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Freehold,480000,North East Penang Island,Island
Balik Pulau,House,4,1760.0,Freehold,500000,South West Penang Island,Island
Seberang Jaya,House,4,2400.0,Freehold,1080000,Central Seberang Perai,Mainland
Perai,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Sungai Ara,Apartment / Condominium,3,1095.0,Freehold,590000,South West Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1095.0,Freehold,510000,South West Penang Island,Island
Tanjong Tokong,Apartment / Condominium,3,1137.0,Freehold,1080000,North East Penang Island,Island
Bukit Mertajam,Apartment / Condominium,3,938.0,Freehold,399000,Central Seberang Perai,Mainland
Jelutong,Apartment / Condominium,3,1175.0,Freehold,778000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,938.0,Leasehold,399000,North East Penang Island,Island
Gelugor,Apartment / Condominium,3,1313.0,Freehold,870000,North East Penang Island,Island
Bayan Lepas,Apartment / Condominium,3,1100.0,Freehold,638000,South West Penang Island,Island
Relau,House,4,2380.0,Freehold,1080000,South West Penang Island,Island
Nibong Tebal,House,4,2400.0,Freehold,960000,South Seberang Perai,Mainland
Gelugor,Apartment / Condominium,3,1113.0,Leasehold,520000,North East Penang Island,Island
Tanjung Bungah,House,4,2400.0,Freehold,1080000,North East Penang Island,Island
Sungai Ara,Apartment / Condominium,3,1095.0,Freehold,540000,South West Penang Island,Island
Jelutong,Apartment / Condominium,3,938.0,Leasehold,590000,North East Penang Island,Island
