property_name,property_listing,property_type
For Sale - Infinity Beachfront Condo,https://www.propertyguru.com.my/property-listing/infinity-beachfront-condo-for-sale-by-mj-zie-35641258,condominium
For Sale - Quayside Seafront Resort Condominiums,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mj-zie-35858332,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-35526236,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-35858364,condominium
For Sale - Shineville Park Condominium,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-joseph-tan-35917072,condominium
For Sale - Silverton Condominium,https://www.propertyguru.com.my/property-listing/silverton-condominium-for-sale-by-brandon-tan-35916676,condominium
For Sale - The Brezza,https://www.propertyguru.com.my/property-listing/the-brezza-for-sale-by-brandon-tan-35915741,condominium
For Sale - The Cove,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-nikki-cheah-35773880,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mark-tan-34663087,condominium
For Sale - E Residence,https://www.propertyguru.com.my/property-listing/e-residence-for-sale-by-h-ng-vince-35907973,condominium
For Sale - Skyridge Garden @ Tanjung Tokong,https://www.propertyguru.com.my/property-listing/skyridge-garden-tanjung-tokong-for-sale-by-edwin-ng-32080884,condominium
For Sale - Quayside Seafront Resort Condominiums,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-34517469,condominium
For Sale - Quayside Seafront Resort Condominiums,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-35765214,condominium
For Sale - Quayside Seafront Resort Condominiums,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-34268087,condominium
For Sale - Quayside Seafront Resort Condominiums,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-35229921,condominium
For Sale - Batu Kawan New Project | Freehold Condominium @ Batu Kawan,https://www.propertyguru.com.my/property-listing/batu-kawan-new-project-freehold-condominium-batu-kawan-for-sale-by-bent-koid-35906140,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-may-ng-35199089,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-may-ng-35647083,condominium
For Sale - 3 Residence,https://www.propertyguru.com.my/property-listing/3-residence-for-sale-by-simon-saw-35116203,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35555919,condominium
For Sale - SummerSkye Residences,https://www.propertyguru.com.my/property-listing/summerskye-residences-for-sale-by-kelvin-ooi-35879448,condominium
For Sale - SummerSkye Residences,https://www.propertyguru.com.my/property-listing/summerskye-residences-for-sale-by-kelvin-ooi-35899707,condominium
For Sale - SummerSkye Residences,https://www.propertyguru.com.my/property-listing/summerskye-residences-for-sale-by-kelvin-ooi-34644869,condominium
For Sale - SummerSkye Residences,https://www.propertyguru.com.my/property-listing/summerskye-residences-for-sale-by-kelvin-ooi-35901366,condominium
For Sale - SummerSkye Residences,https://www.propertyguru.com.my/property-listing/summerskye-residences-for-sale-by-kelvin-ooi-35504334,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-kelvin-ooi-34654755,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-kelvin-ooi-35641621,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-kelvin-ooi-35309802,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-kelvin-ooi-35309779,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-kelvin-ooi-35309681,condominium
For Sale - Reflections Condominium,https://www.propertyguru.com.my/property-listing/reflections-condominium-for-sale-by-edwin-ng-34704727,condominium
For Sale - Elit Heights @ Bayan City,https://www.propertyguru.com.my/property-listing/elit-heights-bayan-city-for-sale-by-gorrdan-lee-35144912,condominium
For Sale - Beacon Executive Suites,https://www.propertyguru.com.my/property-listing/beacon-executive-suites-for-sale-by-gorrdan-lee-35809245,condominium
For Sale - Taman Lembah Hijau Block 3,https://www.propertyguru.com.my/property-listing/taman-lembah-hijau-block-3-for-sale-by-gorrdan-lee-35815260,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-cris-ng-35965511,condominium
For Sale - The Light Point @ The Light Waterfront,https://www.propertyguru.com.my/property-listing/the-light-point-the-light-waterfront-for-sale-by-jacyntha-lee-35606001,condominium
For Sale - The Light Point @ The Light Waterfront,https://www.propertyguru.com.my/property-listing/the-light-point-the-light-waterfront-for-sale-by-jacyntha-lee-35725935,condominium
For Sale - The Light Collection IV,https://www.propertyguru.com.my/property-listing/the-light-collection-iv-for-sale-by-jacyntha-lee-35470411,condominium
For Sale - The Light Collection III,https://www.propertyguru.com.my/property-listing/the-light-collection-iii-for-sale-by-jacyntha-lee-35542869,condominium
For Sale - The Light Collection III,https://www.propertyguru.com.my/property-listing/the-light-collection-iii-for-sale-by-jacyntha-lee-35470197,condominium
For Sale - The Light Collection III,https://www.propertyguru.com.my/property-listing/the-light-collection-iii-for-sale-by-jacyntha-lee-35604934,condominium
For Sale - The LIGHT COLLECTION II,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-jacyntha-lee-35806248,condominium
For Sale - The LIGHT COLLECTION II,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-jacyntha-lee-35924844,condominium
For Sale - The LIGHT COLLECTION II,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-jacyntha-lee-35924929,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-jacyntha-lee-35805839,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-jacyntha-lee-35780282,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-jacyntha-lee-35468369,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-jacyntha-lee-35923868,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-jacyntha-lee-35923968,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-jacyntha-lee-35924212,condominium
For Sale - Central Park,https://www.propertyguru.com.my/property-listing/central-park-for-sale-by-scott-seow-35840662,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-scott-seow-35725369,condominium
For Sale - 3 Residence,https://www.propertyguru.com.my/property-listing/3-residence-for-sale-by-max-lee-35623662,condominium
For Sale - Fettes Residences,https://www.propertyguru.com.my/property-listing/fettes-residences-for-sale-by-yeewon-lim-35917285,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-35304535,condominium
For Sale - Iconic Skies,https://www.propertyguru.com.my/property-listing/iconic-skies-for-sale-by-patrick-35092017,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-eric-lim-35962167,condominium
For Sale - Vivo Executive Apartment,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-eric-lim-35962079,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-lim-jin-hong-35921600,condominium
For Sale - QuayWest Residence,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-kelvin-ooi-35960806,condominium
For Sale - The LIGHT COLLECTION I,https://www.propertyguru.com.my/property-listing/the-light-collection-i-for-sale-by-scott-seow-35960123,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-scott-seow-35959998,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-fred-lim-35649560,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-fred-lim-33354965,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-fred-lim-35465228,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-fred-lim-35649485,condominium
For Sale - QuayWest Residence,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-aaron-quah-35542327,condominium
For Sale - One Foresta @ Bayan Lepas,https://www.propertyguru.com.my/property-listing/one-foresta-bayan-lepas-for-sale-by-elson-dee-35557873,condominium
For Sale - Straits Residences @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/straits-residences-seri-tanjung-pinang-for-sale-by-elvis-lim-35090024,condominium
For Sale - Gardens Ville,https://www.propertyguru.com.my/property-listing/gardens-ville-for-sale-by-elson-dee-35854739,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-allan-goh-35956473,condominium
For Sale - Straits Residences @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/straits-residences-seri-tanjung-pinang-for-sale-by-nikki-cheah-35137827,condominium
For Sale - The Cove,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-nikki-cheah-35131760,condominium
For Sale - QuayWest Residence,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-carson-chuah-32048231,condominium
For Sale - QuayWest Residence,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-carson-chuah-32001506,condominium
For Sale - TRI PINNACLE,https://www.propertyguru.com.my/property-listing/tri-pinnacle-for-sale-by-jia-yong-35616039,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-dominic-ong-33726143,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-dominic-ong-33726155,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-may-ng-35647481,condominium
For Sale - M Vista,https://www.propertyguru.com.my/property-listing/m-vista-for-sale-by-lim-jin-hong-35856692,condominium
For Sale - Silverton Condominium for sale,https://www.propertyguru.com.my/property-listing/silverton-condominium-for-sale-for-sale-by-a-ee-ee-33531832,condominium
For Sale - Raffel Tower,https://www.propertyguru.com.my/property-listing/raffel-tower-for-sale-by-edwin-ong-35354716,condominium
For Sale - Mira Residence,https://www.propertyguru.com.my/property-listing/mira-residence-for-sale-by-edwin-ong-35354785,condominium
For Sale - Triuni Residences @ The Sanctuary,https://www.propertyguru.com.my/property-listing/triuni-residences-the-sanctuary-for-sale-by-edwin-ong-35631205,condominium
For Sale - GEM Residences,https://www.propertyguru.com.my/property-listing/gem-residences-for-sale-by-edwin-ong-35434739,condominium
For Sale - GEM Residences,https://www.propertyguru.com.my/property-listing/gem-residences-for-sale-by-edwin-ong-35434704,condominium
For Sale - Mont Residence @ Penang,https://www.propertyguru.com.my/property-listing/mont-residence-penang-for-sale-by-a-ee-ee-35324703,condominium
For Sale - No. 1 Persiaran Gurney (PG1),https://www.propertyguru.com.my/property-listing/no-1-persiaran-gurney-pg1-for-sale-by-a-ee-ee-34732752,condominium
For Sale - I-Regency Condominium,https://www.propertyguru.com.my/property-listing/i-regency-condominium-for-sale-by-a-ee-ee-35921218,condominium
For Sale - 98 Nibong Residence,https://www.propertyguru.com.my/property-listing/98-nibong-residence-for-sale-by-millie-chew-35953095,condominium
For Sale - Gold Coast Resort Condominium,https://www.propertyguru.com.my/property-listing/gold-coast-resort-condominium-for-sale-by-millie-chew-35335987,condominium
For Sale - Sunny Ville Condominium,https://www.propertyguru.com.my/property-listing/sunny-ville-condominium-for-sale-by-millie-chew-35947703,condominium
For Sale - Island Glades,https://www.propertyguru.com.my/property-listing/island-glades-for-sale-by-alicia-poh-35851367,condominium
For Sale - 8 Gurney (The Shore),https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-dominic-ong-28370978,condominium
For Sale - Springtide Residences,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-dominic-ong-24893399,condominium
For Sale - Andaman @ Quayside,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-33201530,condominium
For Sale - The Marin @ Ferringhi,https://www.propertyguru.com.my/property-listing/the-marin-ferringhi-for-sale-by-sam-kam-34174574,condominium
For Sale - Birch Regency - Times Square,https://www.propertyguru.com.my/property-listing/birch-regency-times-square-for-sale-by-sh-lim-35616304,condominium
For Sale - Vivo Executive Apartment,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-lim-jin-hong-35944914,condominium
For Sale - Sensasi Residential Suites,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-lim-jin-hong-35944974,condominium
For Sale - Versa Junior Apartment,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-lim-jin-hong-35944849,condominium
For Sale - Vertiq,https://www.propertyguru.com.my/property-listing/vertiq-for-sale-by-ck-law-35814826,condominium
For Sale - Vertu Resort @ Aspen Vision City,https://www.propertyguru.com.my/property-listing/vertu-resort-aspen-vision-city-for-sale-by-edwin-ong-35497853,condominium
For Sale - Middleton @ Minden Heights,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-ck-ong-35510347,condominium
